frame,mse,rmse,mae,psnr,snr,ssim,mmd,capacity_bits,embedded_bits,capacity_ratio,embed_time_sec
71,0.007911522633744856,0.08894674043350242,0.007911522633744856,69.14820285992754,56.11734060605222,0.9999418492956375,0.00021604938271480023,6095,6095,1.0,0.10880804061889648
146,0.008276748971193416,0.09097663970049354,0.008276748971193416,68.95220577359137,56.29782443288556,0.9999349029903777,0.00021604938271480023,6391,6391,1.0,0.10893368721008301
91,0.008261316872427983,0.09089178660598538,0.008261316872427983,68.96031080515505,55.52989447111052,0.9999281451473383,9.773662551282314e-05,6387,6387,1.0,0.12421512603759766
45,0.007487139917695473,0.08652826080359799,0.007487139917695473,69.38764411683336,56.10364847712029,0.9999411592603668,0.0004912551440341417,5888,5888,1.0,0.11045002937316895
105,0.007921810699588477,0.08900455437554011,0.007921810699588477,69.14255900621703,55.2460530499111,0.99992865252712,0.0007098765432083098,6270,6270,1.0,0.10370111465454102
127,0.008132716049382717,0.09018157267082182,0.008132716049382717,69.02844751525957,55.83030215942678,0.9999332242801247,0.00011316872428324132,6368,6368,1.0,0.11343097686767578
21,0.008094135802469135,0.08996741522612026,0.008094135802469135,69.04909874208927,55.79528527247818,0.9999381638793897,0.0005272633744866084,6327,6327,1.0,0.11801314353942871
145,0.007983539094650206,0.08935065245788755,0.007983539094650206,69.10884904535996,56.40359360617534,0.9999326345687692,0.0002623456790118439,6303,6303,1.0,0.12229657173156738
60,0.008099279835390947,0.08999599899657176,0.008099279835390947,69.04633956485603,55.91244361887516,0.9999365314479897,0.00018261316872525413,6270,6270,1.0,0.10919070243835449
52,0.008443930041152263,0.09189085939935628,0.008443930041152263,68.86535734392807,55.63489146444078,0.9999387889661091,0.00043467078189252106,6439,6439,1.0,0.11898612976074219
58,0.008016975308641976,0.08953756367381221,0.008016975308641976,69.09069814845307,55.92654518233914,0.9999378145464584,0.00032150205761638517,6294,6294,1.0,0.11045312881469727
6,0.008037551440329218,0.08965239227331984,0.008037551440329218,69.07956595442053,55.84701515674459,0.999944550445007,0.00043981481481125684,6207,6207,1.0,0.10625863075256348
26,0.008032407407407408,0.08962369891612045,0.008032407407407408,69.08234632891948,55.841326709268664,0.9999354403988923,0.0008204732510250778,6374,6374,1.0,0.11481213569641113
17,0.008132716049382717,0.09018157267082182,0.008132716049382717,69.02844751525957,55.771853304001255,0.9999299688412883,0.0009413580246899755,6204,6204,1.0,0.11667895317077637
142,0.008233024691358025,0.09073601650589486,0.008233024691358025,68.97520942978015,56.14950798277813,0.9999353896532771,0.000547839506168657,6298,6298,1.0,0.12796473503112793
70,0.008065843621399177,0.08981004187394179,0.008065843621399177,69.06430563109747,56.02560692638019,0.9999401711042418,0.0003755144032879798,6141,6141,1.0,0.13230586051940918
100,0.008220164609053497,0.09066512344365664,0.008220164609053497,68.98199846480193,55.08924882328969,0.999928152026701,0.0001543209876544438,6390,6390,1.0,0.11335325241088867
40,0.00775977366255144,0.08808957749104851,0.00775977366255144,69.23231306947159,55.97078750761905,0.9999419128501558,0.00025462962963018754,5986,5986,1.0,0.10626912117004395
19,0.00801440329218107,0.08952319974275423,0.00801440329218107,69.0920916812162,55.83600347075502,0.9999385634867609,0.0006172839506177752,6324,6324,1.0,0.10620594024658203
128,0.008325617283950617,0.09124482058698245,0.008325617283950617,68.92663917719574,55.724562080105656,0.9999259379158341,0.0006198559670806958,6340,6340,1.0,0.12430977821350098
35,0.007968106995884773,0.08926425374070392,0.007968106995884773,69.11725203698961,55.85782354896695,0.9999414557804945,0.0003652263374434028,6158,6158,1.0,0.10991477966308594
108,0.00797582304526749,0.08930746354738493,0.00797582304526749,69.11304850884821,55.270566145964246,0.9999332212491264,0.0002700617283935003,6124,6124,1.0,0.10721755027770996
86,0.0077546296296296295,0.08806037491192976,0.0077546296296296295,69.23519300645977,55.95697864507091,0.9999366941810307,0.0005529835390944982,6094,6094,1.0,0.09840846061706543
31,0.008101851851851851,0.09001028747788695,0.008101851851851851,69.04496063332547,55.73955388888337,0.9999241561779502,0.0005041152263416393,6318,6318,1.0,0.10704445838928223
92,0.007631172839506173,0.08735658440842438,0.007631172839506173,69.30489070805305,55.752382825735125,0.9999291434908817,0.00012602880658363347,5991,5991,1.0,0.11850857734680176
5,0.008068415637860083,0.08982435993571056,0.008068415637860083,69.06292098424403,55.8327375459436,0.9999471640799342,0.0003369341563796979,6261,6261,1.0,0.12341666221618652
12,0.00794238683127572,0.0891200697445627,0.00794238683127572,69.13129325458449,55.854716276470896,0.9999298858531995,0.0006481481481515061,6214,6214,1.0,0.11837935447692871
8,0.007718621399176955,0.0878556850703297,0.007718621399176955,69.25540621697294,56.01379840970139,0.9999447774202288,0.0003472222222242749,6016,6016,1.0,0.124420166015625
